Qty;Value;Device;Package;Parts
4;0;RESISTOR0603;R0603;R33, R36, R50, R52
2;1;RESISTOR0603;R0603;R28, R37
4;100;RESISTOR0603;R0603;R53, R54, R55, R56
15;100n;CAPACITOR0603;C0603;C1, C4, C5, C6, C7, C8, C9, C12, C13, C18, C19, C23, C29, C30, C31
3;1070;RESISTOR0603;R0603;R8, R12, R20
3;10k;RESISTOR0603;R0603;R34, R35, R46
5;10u;CAPACITOR0805;C0805;C2, C25, C26, C69, C70
2;1k;RESISTOR0603;R0603;R16, R24
1;1n;CAPACITOR0603;C0603;C3
2;1u;CAPACITOR0603;C0603;C20, C21
1;2.2u;CAPACITOR0603;C0603;C27
2;2.7n;CAPACITOR0603;C0603;C16, C17
1;2041021-3;2041021-3;2041021-3;J7
3;2150;RESISTOR0603;R0603;R9, R17, R21
7;4.7u;CAPACITOR0603;C0603;C10, C11, C14, C15, C22, C24, C28
3;4300;RESISTOR0603;R0603;R10, R18, R22
2;470;RESISTOR0603;R0603;R23, R25
9;47k;RESISTOR0603;R0603;R13, R40, R41, R42, R43, R44, R45, R47, R48
3;536;RESISTOR0603;R0603;R4, R11, R19
2;560;RESISTOR0603;R0603;R38, R39
1;74AHC00PW;74AHC00PW;TSSOP-14;U11
3;74AHCT1G14SE-7;74AHCT1G14SE-7;TSSOP-5;U9, U12, U13
1;74LVC4245APW;74LVC4245APW;TSSOP-24;U6
3;75;RESISTOR0603;R0603;R26, R27, R32
2;820;RESISTOR0603;R0603;R5, R6
1;AP3417CKTR-G1;AP3417CKTR-G1;SOT-23-5;U8
1;AUDIO;35RASMT2BHNTRX;35RASMT2BHNTRX;J6
1;BUS;HDR2X10;HDR2X10;J5
9;CAY16-1001F4LF;RES_ARRAY41206;RA4_1206;R1, R2, R3, R7, R14, R15, R29, R30, R31
2;DNP;RESISTOR0603;R0603;R49, R51
3;FIDUCIAL;FIDUCIAL;FIDUCIAL;FD1, FD2, FD3
1;HDR8X1;HDR8X1;HDR8X1;J3
1;ICD15S13E4GX00LF;ICD15S13E4GX00LF;1-1734344-2;J1
1;ICE40UP5K-SG48ITR50;ICE40UP5K-SG48ITR50;QFN-48;U1
1;MD-40S;MD-40S;MD-40S;J4
1;MIC5504-3.3YM5-TR;MIC5504-3.3YM5-TR;SOT-23-5;U2
1;NRS4018T2R2MDGJ;INDUCTORNRS4018;NRS4018;L1
1;RCJ-014;RCJ-014;RCJ-01X;J2
1;SERIAL;HDR4X1;HDR4X1;J9
1;SG5032CAN_25.000000M-TJGA3;SG5032CAN_40.000000M-TJGA3;SG5032;U5
1;SN74CBTD3861PWR;SN74CBTD3861PWR;TSSOP-24;U3
1;THS7314D;THS7314D;SOIC-8;U7
1;W25Q16JVSNIQ;QSPI_FLASHSOIC8;SOIC-8;U4
1;WM8524CGEDT;WM8524CGEDT;TSSOP-16;U10
